session_id,raw_data,sorted,sorted-opto
ecephys_713854_2024-03-05_12-01-40,225e3d34-59cd-4980-9c29-fe6b14b15f8b,363dcfcb-e87b-4d21-8710-f0a62762794f,fe4a3c7c-1bdb-4067-b169-810f2b665829
ecephys_713854_2024-03-05_13-01-09,4aab417c-f682-4bd2-9b70-5fc0879c2781,a1588808-ce5c-454d-98d5-df7e0eedaea2,e36768e5-3825-43f8-b01b-cc6a2e69f1d7
ecephys_713854_2024-03-05_13-31-20,da3489a9-8f1a-4750-9b25-a8a3300ee715,5139caf6-af9b-4a28-afed-c8b8bf261b1d,85305a5f-6248-49bc-8df9-ac8d43b7fd7a
ecephys_717120_2024-03-06_12-23-53,d1eac2fa-52ee-4510-8861-7f93078e2fd7,43969627-10f7-47f8-bbd9-dc80b967bb4d,63c046e9-cb80-4289-afd0-9c1d1e033397
ecephys_717120_2024-03-06_12-54-27,eef4683c-0606-4761-a8b0-9cfaaaa99f9b,6845cebf-25d5-45c0-8560-1264ad87a395,8be983d2-522a-4295-bc3e-e3be81b57f48
ecephys_717120_2024-03-07_12-12-02,85335686-ef59-49d6-8316-6245341fde15,2ea713c8-727c-4a43-97d4-7079f037b49d,01f1646e-9d95-48fe-b391-d50cd58376bd
ecephys_713854_2024-03-08_14-54-25,ee0c6b17-8d70-460d-99f3-806fef653fdb,15cdcd85-8956-4625-9353-8c89bfb23986,2e4b5d6b-cb06-4fe3-8b55-c3ab67d8682b
ecephys_713854_2024-03-08_15-43-01,407bef32-d1af-4c1e-843a-eafd3549e761,aa5c29ad-fd4c-4396-9b2e-06a7d977e2fb,cd21ed1f-99c7-49c5-ae37-7a4fe67900e0
ecephys_713854_2024-03-08_16-20-33,b3b7f2af-1f45-4ffa-a974-9f0474b975be,a01a422f-3579-4691-a19f-6963cd7fcdb9,0f91d163-6ded-4b28-88a5-7c001eff06e5
ecephys_713854_2024-03-08_17-15-58,ccad74ef-5221-4bd6-81fb-a449128dce84,070d5f5b-1f31-4092-b05c-308c83f4758d,550e5060-51e8-4126-933a-ad34db09c9c0
